Hashtag,Count
election,5654
0,5126
foryoupage,3680
fyp,3137
foryou,2899
fypシ,2265
election2022,1947
viral,1824
goviral,1745
chunab,1726
nepal,1519
keepsupporting,1153
tiktok,1123
tiktoknepal,1071
trending,1047
चुनाव,1008
vote,949
localelection,871
nepalicongress,732
nepalitiktok,701
tiktoknepal🇳🇵,693
chunablagyo🤪🦚,623
election2079,604
nepalelection2022,521
foryourpage,513
chunab_aayo_haii☀️🤣🤣🤣🤣,498
localelections2079🇳🇵,497
grow,472
video,416
electionday,379
fypシ゚viral,348
chunabimahol,334
cpnuml,329
congress,324
2079,299
account,299
balen,299
nepali,296
voteforbalen,296
comedy,294
support,288
kpoli,286
balenshah,279
locallevelelection2079,273
jaynepal,240
politics,231
viralvideo,227
nepalimuser,226
voteforchange,225
electionnepal,224
voteforsun,222
kathmandu,217
local,215
love,214
chitwan_muser,209
nepalvotes2022,204
trend,202
nepalelection2079🇳🇵,200
electiontime,196
viralvideos,196
viraltiktok,196
for,185
election2079_nepal,183
duet,181
funny,178
mayor,174
yemale,169
uml,167
voiceeffects,166
nekapayemalay,166
electionnepal2079,164
prachanda,157
chunabi,156
ktm,150
jaynepal🇳🇵🇳🇵🇳🇵🇳🇵🇳🇵,148
butwalmuser,146
keeploving,139
locallevelelection2022,138
localelection2079,137
pokhara,130
myvotemyfuturenepal,128
nepalelection,128
एमाले,123
election2079baishak30,122
नेकपा_एमाले_जिन्दाबाद,122
fun,116
गठबन्धन,114
elections,109
fy,109
nepalipolitician,106
birgunj,105
like,105
justforfun,103
happy,101
voteforbalenshah,97
jhapalimuser,93
share,93
localelections2022,92
votefortree,92
tranding,92
